"Name","Sex","Event","Equipment","Age","AgeClass","BirthYearClass","Division","BodyweightKg","WeightClassKg","Squat1Kg","Squat2Kg","Squat3Kg","Squat4Kg","Best3SquatKg","Bench1Kg","Bench2Kg","Bench3Kg","Bench4Kg","Best3BenchKg","Deadlift1Kg","Deadlift2Kg","Deadlift3Kg","Deadlift4Kg","Best3DeadliftKg","TotalKg","Place","Dots","Wilks","Glossbrenner","Goodlift","Tested","Country","State","Federation","ParentFederation","Date","MeetCountry","MeetState","MeetTown","MeetName","Sanctioned"
"Benjamin Rowles","M","SBD","Raw",20.5,"20-23","19-23","MR-C",101.5,"105",247.5,260,267.5,NA,267.5,175,185,-192.5,NA,185,247.5,265,-282.5,NA,265,717.5,"5",438.83,434.12,414.56,90,"Yes","USA","PA","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Kaeleigh Novak","F","SBD","Raw",20.5,"20-23","19-23","FR-C",56.5,"57",62.5,-67.5,67.5,NA,67.5,40,45,-47.5,NA,45,95,100,105,NA,105,217.5,"17",250.63,254.13,224.75,51.36,"Yes","USA","NE","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Andrew Leonard","M","SBD","Raw",20.5,"20-23","19-23","MR-C",72.9,"74",175,182.5,192.5,NA,192.5,127.5,135,140,NA,140,175,185,192.5,NA,192.5,525,"19",383.66,381.72,369.28,77.68,"Yes","USA","NE","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Rachel Blair","F","SBD","Single-ply",20.5,"20-23","19-23","F-C",79.5,"84",160,170,177.5,NA,177.5,97.5,110,-112.5,NA,110,162.5,-175,-182.5,NA,162.5,450,"11",425.34,413.2,362.5,72.39,"Yes","USA","NE","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Brian Evans","M","SBD","Raw",21.5,"20-23","19-23","MR-C",82.9,"83",192.5,200,205,NA,205,142.5,150,152.5,NA,152.5,250,262.5,-267.5,NA,262.5,620,"15",418.84,414.15,398.4,85.88,"Yes","USA","OH","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Jayden Cantu","M","SBD","Raw",18.5,"18-19","19-23","MR-C",91.4,"93",205,217.5,-227.5,NA,217.5,117.5,-130,-132.5,NA,117.5,250,-260,-260,NA,250,585,"26",375.36,370.59,354.94,77.18,"Yes","USA","MN","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Mason Cordes","M","SBD","Raw",19.5,"20-23","19-23","MR-C",129.1,"120+",255,275,-295.5,NA,275,150,160,170,NA,170,230,242.5,-260,NA,242.5,687.5,"7",385.77,389.34,372.07,77.46,"Yes","USA","OH","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Alisha Bhagwat","F","SBD","Raw",19.5,"20-23","19-23","FR-C",45.7,"47",40,45,47.5,NA,47.5,30,-35,-35,NA,30,70,75,-80,NA,75,152.5,"5",204.08,209.23,186.95,43.49,"Yes","USA","OH","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Addison Brancheau","M","SBD","Raw",21.5,"20-23","19-23","MR-C",81.8,"83",200,-210,-210,NA,200,122.5,127.5,-130,NA,127.5,220,227.5,232.5,NA,232.5,560,"34",381.19,377.08,362.97,78.09,"Yes","USA","MI","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Elijah Ellerman","M","SBD","Raw",21.5,"20-23","19-23","MR-C",81.8,"83",212.5,-225,-225,NA,212.5,135,145,-147.5,NA,145,-247.5,247.5,-262.5,NA,247.5,605,"17",411.82,407.38,392.13,84.37,"Yes","USA","PA","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
